req_len,is_post,num_params,special_chars,sql_count,xss_count,trav_count,alpha_count,digit_count,non_ascii
767.0,0.0,19.0,65.0,1.0,0.0,0.0,523.0,88.0,0.0
658.0,1.0,11.0,45.0,1.0,0.0,0.0,447.0,66.0,0.0
491.0,0.0,6.0,32.0,1.0,0.0,0.0,329.0,45.0,0.0
488.0,0.0,6.0,32.0,1.0,0.0,0.0,324.0,49.0,0.0
655.0,1.0,11.0,48.0,1.0,0.0,0.0,441.0,68.0,0.0
639.0,1.0,11.0,46.0,1.0,0.0,0.0,443.0,53.0,0.0
753.0,0.0,19.0,64.0,1.0,0.0,0.0,511.0,88.0,0.0
696.0,1.0,11.0,56.0,1.0,0.0,0.0,466.0,75.0,0.0
573.0,0.0,11.0,44.0,1.0,0.0,0.0,383.0,60.0,0.0
598.0,0.0,9.0,54.0,2.0,0.0,0.0,373.0,83.0,0.0
880.0,1.0,19.0,80.0,2.0,0.0,0.0,563.0,128.0,0.0
599.0,1.0,7.0,36.0,1.0,0.0,0.0,413.0,53.0,0.0
827.0,1.0,19.0,61.0,1.0,0.0,0.0,569.0,91.0,0.0
671.0,0.0,11.0,57.0,1.0,0.0,0.0,439.0,92.0,0.0
631.0,1.0,11.0,45.0,1.0,0.0,0.0,423.0,65.0,0.0
513.0,0.0,7.0,35.0,1.0,0.0,0.0,340.0,55.0,0.0
782.0,1.0,9.0,57.0,2.0,1.0,0.0,530.0,88.0,0.0
537.0,0.0,9.0,39.0,2.0,0.0,0.0,354.0,61.0,0.0
738.0,0.0,19.0,61.0,1.0,0.0,0.0,495.0,94.0,0.0
494.0,0.0,6.0,33.0,1.0,0.0,0.0,332.0,46.0,0.0
491.0,0.0,6.0,32.0,1.0,0.0,0.0,327.0,47.0,0.0
850.0,0.0,19.0,85.0,2.0,0.0,0.0,536.0,133.0,0.0
806.0,1.0,19.0,63.0,1.0,0.0,0.0,548.0,93.0,0.0
516.0,0.0,7.0,36.0,1.0,0.0,0.0,349.0,48.0,0.0
782.0,0.0,19.0,72.0,1.0,0.0,0.0,521.0,102.0,0.0
518.0,0.0,6.0,35.0,1.0,0.0,0.0,351.0,45.0,0.0
617.0,0.0,11.0,54.0,1.0,0.0,0.0,405.0,72.0,0.0
778.0,0.0,19.0,64.0,1.0,0.0,0.0,529.0,90.0,0.0
801.0,1.0,19.0,62.0,1.0,0.0,0.0,544.0,94.0,0.0
526.0,0.0,6.0,35.0,1.0,0.0,0.0,353.0,52.0,0.0
843.0,1.0,19.0,64.0,1.0,0.0,0.0,586.0,86.0,0.0
662.0,1.0,7.0,43.0,1.0,0.0,0.0,439.0,82.0,0.0
543.0,0.0,9.0,39.0,2.0,0.0,0.0,355.0,64.0,0.0
570.0,0.0,11.0,44.0,1.0,0.0,0.0,379.0,61.0,0.0
774.0,0.0,19.0,64.0,1.0,0.0,0.0,530.0,88.0,0.0
821.0,1.0,19.0,67.0,1.0,0.0,0.0,549.0,102.0,0.0
900.0,1.0,19.0,67.0,3.0,0.0,0.0,626.0,94.0,0.0
840.0,1.0,19.0,62.0,1.0,0.0,0.0,583.0,89.0,0.0
816.0,1.0,19.0,64.0,1.0,0.0,0.0,555.0,94.0,0.0
512.0,0.0,6.0,33.0,1.0,0.0,0.0,325.0,71.0,0.0
504.0,0.0,6.0,33.0,1.0,0.0,0.0,340.0,46.0,0.0
765.0,0.0,19.0,63.0,1.0,0.0,0.0,522.0,89.0,0.0
