check_len,evidence_len,severity_num,is_sqli,is_xss,is_cmdi_rce,is_git_env,is_header,is_info_asset,special_chars
20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42.0,67.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
40.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51.0,19.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
28.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
39.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
51.0,81.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
31.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31.0,21.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
40.0,62.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
38.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,31.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
44.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
24.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
40.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
31.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
30.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22.0,25.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
35.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22.0,17.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37.0,52.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
27.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
27.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
18.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,39.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
50.0,19.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37.0,40.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
36.0,63.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
34.0,25.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
