cve_id,desc_len,word_count,is_injection,is_overflow,is_auth_bypass,is_xss,is_rce,is_dos,is_unauthenticated,is_root_admin,exploitability_score,av_network,av_adjacent,av_local,av_physical,ground_truth_severity
CVE-2017-18006,120,17,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-3810,470,66,0,0,1,0,0,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2018-3811,373,55,1,0,0,0,0,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2017-18008,84,13,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-18009,140,14,0,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2017-18010,164,20,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-18011,141,19,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-18012,98,14,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-18013,138,19,0,0,0,0,0,1,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-3813,195,25,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-3814,249,42,0,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2017-18015,101,17,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-9964,260,36,0,0,1,0,0,0,1,0,1.6,1,0,0,0,MEDIUM
CVE-2017-9965,219,30,0,0,0,0,0,0,1,0,3.9,1,0,0,0,MEDIUM
CVE-2017-9966,265,37,0,0,1,0,0,0,1,1,1.2,1,0,0,0,HIGH
CVE-2017-1000442,103,19,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-1000443,157,23,0,0,0,1,1,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000444,175,25,1,0,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000445,144,22,0,0,0,0,0,1,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-17097,400,60,0,0,0,0,0,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2017-17098,292,43,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000412,177,27,0,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2017-1000413,192,31,0,0,0,0,0,0,0,0,2.2,1,0,0,0,MEDIUM
CVE-2017-1000448,195,30,0,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2017-1000450,270,40,0,1,0,0,1,1,0,0,2.8,1,0,0,0,HIGH
CVE-2017-1000451,295,47,1,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-1000452,169,23,0,0,0,0,0,0,0,0,1.6,1,0,0,0,HIGH
CVE-2017-1000453,154,23,1,0,0,0,1,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000454,180,29,1,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-1000455,218,28,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-1557,210,34,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000418,258,33,0,1,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2017-1000456,132,15,0,1,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2017-1000457,329,41,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2017-1000458,185,30,0,0,0,0,0,1,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000419,230,33,0,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2017-1000420,108,15,0,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2017-1000421,125,18,0,0,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000422,163,23,0,1,0,0,1,0,0,0,2.8,1,0,0,0,HIGH
CVE-2017-1000423,223,31,0,0,0,0,1,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000424,184,31,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000430,189,28,0,1,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000431,219,36,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000426,146,22,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000425,225,34,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000427,88,16,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000432,112,18,0,0,0,0,0,0,0,0,2.1,1,0,0,0,HIGH
CVE-2017-1000433,171,27,0,0,0,0,0,0,0,0,2.2,1,0,0,0,HIGH
CVE-2017-1000434,249,28,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000437,132,18,0,1,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000438,191,33,0,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2017-1000459,88,16,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000463,195,28,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-1000466,197,28,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-1000491,129,21,0,0,0,1,1,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000492,113,18,0,0,0,1,1,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000493,118,17,1,0,0,0,0,0,0,1,3.9,1,0,0,0,CRITICAL
CVE-2017-18017,317,44,0,1,0,0,0,1,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-4862,246,38,0,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2018-4868,175,24,0,0,0,0,0,1,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-1000494,236,30,0,1,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2017-1000495,206,30,0,0,0,1,0,1,0,1,2.3,1,0,0,0,MEDIUM
CVE-2017-1000496,161,24,0,0,0,0,0,1,0,0,2.8,1,0,0,0,HIGH
CVE-2017-1000497,151,22,0,0,0,0,1,1,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000498,148,23,0,0,0,0,1,1,0,0,1.8,0,0,1,0,HIGH
CVE-2017-1000499,244,37,0,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2017-1000467,189,27,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-1000501,179,27,0,0,0,0,1,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000488,166,29,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000489,121,21,0,0,0,0,0,0,0,0,2.2,1,0,0,0,HIGH
CVE-2017-1000490,214,37,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000476,164,24,0,0,0,0,0,1,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000477,99,16,0,0,0,0,0,1,0,0,3.9,1,0,0,0,HIGH
CVE-2017-1000478,170,24,0,0,0,1,0,1,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-1000479,480,73,0,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2017-1000480,162,26,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000481,761,139,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000482,183,33,0,0,0,0,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-1000483,249,40,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000460,252,33,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000461,302,41,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000462,177,26,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-1000469,158,25,1,0,0,0,1,0,0,1,3.9,1,0,0,0,CRITICAL
CVE-2017-1000470,144,22,0,1,0,0,0,1,0,0,3.9,1,0,0,0,HIGH
CVE-2017-1000471,157,24,0,1,0,0,0,1,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000472,380,54,1,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000473,204,33,1,0,0,0,1,0,0,1,1.8,0,0,1,0,HIGH
CVE-2017-1000484,546,102,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1000485,175,22,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-1000486,98,15,0,0,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-1000487,138,20,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-5072,79,10,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-5073,55,7,0,0,0,0,0,0,0,0,0.9,1,0,0,0,MEDIUM
CVE-2018-5074,82,10,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-5075,82,10,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-5076,77,10,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-5077,78,10,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-5078,73,10,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-5079,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5080,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5081,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5082,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5083,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5084,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5085,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5086,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5087,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5088,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18018,263,45,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18019,384,59,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-14383,441,66,0,0,0,1,0,0,1,0,2.8,1,0,0,0,MEDIUM
CVE-2017-18020,249,41,0,0,0,0,1,0,0,0,2.5,0,0,1,0,HIGH
CVE-2017-8046,253,42,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-0103,678,105,0,1,0,0,1,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-0104,672,104,0,0,0,0,1,0,0,0,2.8,1,0,0,0,CRITICAL
CVE-2018-0114,731,120,0,0,0,0,0,0,1,0,3.9,1,0,0,0,HIGH
CVE-2018-1190,398,65,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-5210,291,42,0,1,0,0,1,0,0,0,2.2,1,0,0,0,HIGH
CVE-2017-5715,207,27,0,0,0,0,0,0,1,0,1.1,0,0,1,0,MEDIUM
CVE-2017-5753,198,26,0,0,0,0,0,0,1,0,1.1,0,0,1,0,MEDIUM
CVE-2017-5754,225,31,0,0,0,0,0,0,1,0,1.1,0,0,1,0,MEDIUM
CVE-2018-0741,259,38,0,0,0,0,0,0,0,0,1.6,1,0,0,0,MEDIUM
CVE-2018-0743,278,42,0,0,0,0,0,0,0,0,1.0,0,0,1,0,HIGH
CVE-2018-0744,315,51,0,0,0,0,0,0,0,0,1.0,0,0,1,0,HIGH
CVE-2018-0745,309,45,0,0,0,0,0,0,0,0,1.0,0,0,1,0,MEDIUM
CVE-2018-0746,374,57,0,0,0,0,0,0,0,0,1.0,0,0,1,0,MEDIUM
CVE-2018-0747,425,67,0,0,0,0,0,0,0,0,1.0,0,0,1,0,MEDIUM
CVE-2018-0748,365,60,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-0749,408,66,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-0750,226,36,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2018-0751,367,59,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-0752,367,59,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-0753,287,48,0,0,0,0,0,1,0,0,2.2,1,0,0,0,MEDIUM
CVE-2018-0754,415,66,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2018-0758,489,63,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0762,653,91,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0766,301,45,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-0767,348,51,0,0,0,0,0,0,0,0,1.6,1,0,0,0,MEDIUM
CVE-2018-0768,440,55,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0769,489,63,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0770,489,63,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0772,653,91,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0773,440,55,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0774,440,55,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0775,440,55,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0776,489,63,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0777,489,63,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0778,440,55,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0780,354,52,0,0,0,0,0,0,0,0,1.6,1,0,0,0,MEDIUM
CVE-2018-0781,489,63,0,1,0,0,1,0,0,0,1.6,1,0,0,0,HIGH
CVE-2018-0788,321,53,0,0,0,0,0,0,0,0,1.0,0,0,1,0,HIGH
CVE-2018-0800,305,44,0,0,0,0,0,0,0,0,1.6,1,0,0,0,MEDIUM
CVE-2018-0803,301,45,0,0,0,0,0,0,0,0,1.6,1,0,0,0,MEDIUM
CVE-2017-15714,274,43,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-17837,261,43,1,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2014-7862,189,25,0,0,0,0,0,0,0,1,3.9,1,0,0,0,CRITICAL
CVE-2017-14960,129,17,1,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2017-1664,195,29,0,0,0,0,0,0,0,0,2.2,1,0,0,0,MEDIUM
CVE-2017-1665,195,29,0,0,0,0,0,0,0,0,2.2,1,0,0,0,MEDIUM
CVE-2017-1669,263,41,0,0,0,0,0,0,1,0,2.2,1,0,0,0,LOW
CVE-2017-1672,237,37,0,0,0,0,0,0,1,0,2.8,1,0,0,0,HIGH
CVE-2017-1673,307,45,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2017-1699,247,41,0,0,0,0,0,0,0,0,1.8,0,0,1,0,LOW
CVE-2017-1727,190,30,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-5212,169,24,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-5213,162,24,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-5214,128,18,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2017-17867,370,55,0,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2018-5215,73,11,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-5216,122,17,0,0,0,1,0,0,0,0,2.3,1,0,0,0,MEDIUM
CVE-2018-5217,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5218,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5219,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2018-5220,216,33,0,0,0,0,0,1,0,0,1.8,0,0,1,0,HIGH
CVE-2017-16716,138,22,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-16720,163,26,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-16724,212,35,0,1,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-16728,246,38,0,0,0,0,0,1,0,0,3.9,1,0,0,0,HIGH
CVE-2017-16753,161,25,0,0,0,0,0,1,0,0,3.9,1,0,0,0,HIGH
CVE-2017-16905,218,31,0,0,0,0,1,0,0,0,2.2,1,0,0,0,HIGH
CVE-2019-3494,101,11,1,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2018-20650,231,39,0,0,0,0,0,1,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-20651,346,53,0,0,0,0,0,1,0,0,1.8,0,0,1,0,MEDIUM
CVE-2018-20652,268,35,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2019-3500,199,33,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2019-3501,143,27,0,0,0,1,0,0,0,0,1.7,1,0,0,0,MEDIUM
CVE-2018-17188,532,79,0,0,0,0,0,0,1,0,1.2,1,0,0,0,HIGH
CVE-2018-20657,258,39,0,0,0,0,0,1,0,0,3.9,1,0,0,0,HIGH
CVE-2018-5197,320,45,1,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-20658,152,27,0,0,0,0,0,1,0,0,3.9,1,0,0,0,HIGH
CVE-2019-3572,307,47,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2019-3573,140,20,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2019-3574,138,21,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-7900,159,24,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-20659,247,28,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2019-3576,577,55,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2019-3577,164,22,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-13045,172,24,1,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-14718,183,24,0,0,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-14719,206,26,0,0,0,0,1,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-14720,199,26,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-14721,213,27,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-15490,485,76,0,0,0,0,0,0,0,1,1.8,0,0,1,0,HIGH
CVE-2018-19360,187,23,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-19361,175,23,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-19362,185,23,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-19371,142,22,0,0,0,0,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-19478,137,21,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2018-20100,397,61,0,0,0,0,0,0,0,0,3.9,1,0,0,0,CRITICAL
CVE-2018-20114,291,44,0,0,0,0,0,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2018-20166,328,48,0,0,0,0,0,0,0,0,2.8,1,0,0,0,HIGH
CVE-2018-20211,352,53,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-20326,159,16,0,0,0,1,0,0,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-18264,152,20,0,0,1,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2018-18893,122,12,0,0,0,0,0,0,0,0,3.9,1,0,0,0,MEDIUM
CVE-2018-20131,316,49,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2019-3580,133,20,0,0,0,0,0,0,0,0,3.9,1,0,0,0,HIGH
CVE-2018-17172,222,23,1,0,0,0,0,0,1,0,3.9,1,0,0,0,CRITICAL
CVE-2018-20662,296,42,0,0,0,0,0,1,0,0,2.8,1,0,0,0,MEDIUM
CVE-2018-16879,325,52,0,0,0,0,0,1,0,0,3.9,1,0,0,0,CRITICAL
CVE-2017-11004,440,73,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18141,564,97,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18319,346,56,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18320,413,76,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18321,138,24,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18322,370,58,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18323,419,70,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18324,378,61,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18326,390,62,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18327,383,66,0,0,0,0,0,0,0,0,1.8,0,0,1,0,MEDIUM
CVE-2017-18328,315,50,0,0,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18329,430,72,0,1,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2017-18330,477,75,0,1,0,0,0,0,0,0,1.8,0,0,1,0,HIGH
CVE-2018-16876,163,27,0,0,0,0,0,0,0,0,1.6,1,0,0,0,MEDIUM
CVE-2018-16870,184,31,0,0,0,0,0,0,0,0,2.2,1,0,0,0,MEDIUM
CVE-2018-16882,565,80,0,0,0,0,0,1,0,0,2.0,0,0,1,0,HIGH
